id,text,label,
15,"""Clinton has done more for the living than many.""\n\nAgreed. But being pro-life means having respect for life in the womb, and she has none. I can understand how non-Catholics don;t see early-term abortions as wrong. I myself see it as a terrible wrong, but I can understand that many non-Catholics don't ever get enough education in that sort of thing, and in ignorance, say ""It's just a glob of cells."" I get that. But no one can rationally say that partial-birth abortion doesn't involve a human being as fully human as a new-born baby. And yet Clinton defends the so-called ""right"" to kill such a baby. You say abortion would remain legal in the United States with Trump were elected. But what would NOT be etched into Constitutional law -- as it will be with Clinton --- is that PARTIAL BIRTH abortion is a right. Why don't the deaths of so many babies cause you extraordinary alarm? What could be worse?",biased,
16,Just came back from watching my brothers play seven hours of volleyball with @jacquelinecano &amp; Alex Smith. Fun but very long and tiring.,non-biased,
17,@thejessicadrake did you have a long sleep ?,non-biased,
18,"There are no lay member of the FSSPX, it is a society consistingly solely of priests. Pope Francis has said the priests of this fraternity may licitly celebrate nuptial Masses for those who desire them to. This actually means that any Masses celebrated by the priests of this fellowship are undoubtedly valid but also licit and that those who receive Holy Communion at those Masses do so licitly. He has also allowed local Ordinaries to permit FSSPX priests in certain circumstances to witness the exchange of marriage vows on behalf of the Catholic Church. FSSPX priests are also permitted by Pope Francis to hear confessions and absolve sins.\nThere is no comparison whatsoever between the FSSPX and the divorced and remarried. The Catholic Church has never demanded that those whose marriages have been witnessed by an FSSPX priest or bishop be remarried or required to be subject to 'sanatio in radice'.",biased,
19,"Governments will always be predisposed towards tax-and-spend.\nIt takes either an extreme financial/fiscal crisis, or a government with a strong sense of ideology/discipline to prod governments towards the straight and narrow path of fiscal prudence. Not to mention how hard it is to root out entrenched interests (public employee payrolls are a bulging low-hanging fruit, but good luck to those who try to prune it).\n\nEven our last Conservative government (despite a good start) was not immune.\nAnd the Liberal governments of the 90s adopted fiscal conservatism out of necessity.\n\nFor those of us who question the efficacy of government efforts/spending to spur the economy, or the benefits of heavy-handed government intervention into individuals' lives and the market, the only logical solution is to put more power into the hands of the individual citizen by shrinking government. Good luck with that.",biased,
20,@erika50 omg i wasn't yelling at you she said to email them 2 her. im clueless.,non-biased,
21,There is no evidence of widespread voter fraud. The right wing sound byte that there was has been debunked rather thoroughly.,biased,
22,"What percent of upper management and ownship are Republican/Democrat? I've talked to Harry Smith when he was visiting Pella. Much of his talk (he was already doing personal stories by then, not hard news). But he talked about the monetary and philosophical differference between journalist and media ownership. The foriegn press core of American media has been decimated, which may be one reason 'rogue' countries just seem to pop up.\n\nAnyway a big difference in corporate values between wage earners and ownership. We have every reason to believe ownership has won most of the battles, they write the checks. They want more giggle news that entertains , not that depressing stuff... reality.\n\nBig differences in print news and broadcast news for that matter. Print news demands more time and effort. It's also collapsing and morphing into electronic media.",non-biased,
23,"Very good point. Often, people form opinions, whether emotionally or fact driven who may misinterpret the source of the emotional drive or even be bereft of real fact...but, are sincere, of good faith and even right despite invalid info. These people merit deep listening, honest response and appropriate action. Others who are not of good faith, ideologically driven regardless of fact need to be heard as well for whatever truth or depravity is fueling their single mindedness. \nAs an older person I suspect all politicians. As an outsider I sense at least some willingness to do this among the Democratic Party and barely within the Republican Party...especially in a Trump led one.",non-biased,
24,"Tis 2:21 am. I'm nowhere near sleep, and I fear what will happen mixing Monster and sleeping pills. Maybe I'll just stay up? I'm clean...",non-biased,
25,"Would there have been an investigation of Mr. Trump if Hillary had won the election?\nClearly not. Would the Justice Department have prosecuted Hillary for the e-mails under Obama's presidency? Why did Mr. Comey investigate, find evidence of malfeasance, and then decide to make no recommendation to prosecute? Why did the U.S. Attorney General not follow up and do it anyway? This witch hunt is all because Hillary lost and was supposed to win, and got help from the FBI but complained at the time about their investigation.\n\nThe investigation is because Mr. Trump won the election, pure and simple, and would not be taking place if Hillary had won.",biased,
26,"This guy is not, as the article headline reads, a victim. Thank goodness he killed only himself. Perhaps he would still be alive if one of the judges he appeared before had thrown him in jail to protect the public and to teach him a lesson.",non-biased,
27,So sad Figlios in Uptown is closing....such a fun place for happy hour.,non-biased,
28,got her ear lobe peirced for the third time today and it still hurts,non-biased,
29,I need to prepare for Kazakh class.,non-biased,
30,"Also, my house is hotter than that chick last night. I miss #SantaBarbara",non-biased,
31,"Hey, if the exit polls are close to correct then the brits seem to be taking a lesson from the BC election.\nNow how will the brits handle the Speaker situation?",non-biased,
32,"Only 1/3 of ""all stakeholders"" will be paying a State income tax.\nHow about those exempt from paying a State income tax give up their WHOLE PFD,S....\n\nNOW everybody's paying their fair share.",biased,
33,Still cranky about not being able to inflict your beliefs on gay people?\n\nLive with it.,biased,
34,@wsamuel Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip,non-biased,
35,i hate my body so many scars and bumps.,non-biased,
36,"The authors missed the most important point of all.\n\nMake more of an effort to teach critical thinking skills from grade school right through to post-secondary, and present alternative points of view in an impartial manner. While no fan of Scheer -- and without really knowing what his talking point will mean -- I am glad to hear that someone is trying to get universities to quit muzzling free speech. And Wente's column on white privilege shows that such education in the lower grades may be a little one-sided, since prejudice and a sense of entitlement are not unique to those of Western descent.\n\nFake news is not so very difficult to spot for those that have some intellectual capacity and the ability to analyse. But it will continue to proliferate and perhaps evolve, since traditional journalistic outlets are experiencing plummeting revenue.",,
37,@Megan_Park i can't WAIT till new season starts!! AND i'm watching in it from spain! i love the show sooo much!,non-biased,
38,By your meat from www.capetownonlinemarket.co.za and know where your meat comes from,non-biased,
39,"@gerrymoth - nope, but will check it out THANKS i find alot of people before have experienced the same thing. any clue why?. just curious",non-biased,
40,"Wow, got any more SJW trigger words? The reality that rational grown-ups deal with is based in actual law (you know, as codified in federal and state statutes, not hypothetical ""rights""). And in Colorado, the law says that mineral rights holders have priority such that surface right owners cannot prevent access to the subsurface. This has been applied in case law for more than a century.\n\nThere is no such thing as ""rights not to have lives...degraded"". There are, however, property rights. And there are laws that provide the foundation for operating rules for things like oil and gas production. This is not magic. It may seem unexpected to home buyers who did not know Colorado law, and also know that some other entity owns the minerals under their new lot, but ignorance is no excuse for creating new ""rights"".",biased,
41,wishing things would change.... tired of sleeping alone and constantly disappointed,non-biased,
42,"Relaxing with the family I hope it stays nice out today, I want to grill out at the park,maybe go disc golfing too.",non-biased,
43,my wifi isnt workin' does anyone know how to fix it??,non-biased,
44,life is taking a lot of energy out of me atm. working today with a girl i hate! and have to usher children into sunday school to sing...,non-biased,
45,@priscellie i saidn check the battery in your smoke detector!,non-biased,
46,@adecembertruth awww id love to go... but i cant.,non-biased,
47,@ImSoCurvy Oh my! That poor baby. How sad,non-biased,
48,"Jay - people band together, business owners band together, and pretty soon there is no cake baker or candlestick maker who will bake a cake for those who are the race, religion, ethnicity that is to be shunned. That is how segregation worked in the South - by the agreement of the majority. \n\nIn cities and large towns there are many cake bakers. The same is not true everywhere. When the gay marriage issue was heating up, there was a mid sized town in which all the cake bakers had gotten together and decided none of them would sell a cake for a gay wedding.\n\nThe person who supplies the food or decorations or tables or tent for a gay wedding are not endorsing the wedding. They are providing a good or service and doing so implies nothing about their beliefs regarding the validity of a marriage. How many of Catholic service providers supply goods for a wedding for divorced people and think nothing of it?",,leaning non-biased
49,"What a travesty and insult to the men and women who serve and support this country. We can find $10.5 MILLION to pay a terrorist but the Liberal government can't find the money for the $5 million Community War Memorial Program. As well it is considering whether to shelve plans for a national Afghanistan war memorial intended to honour the 40,000 who had served between 2001 and 2014, including 158 who died.\nSomeone needs to figure out there's a Big difference between paying for your crime and getting paid to commit one!",biased,
50,More of the Federal overreach our delegation always whines about...............;),biased,
51,"She got that done a while ago, the ink is under her tits, and is very nice work.",non-biased,
52,knowing that it's really over . . . knowing that I'll never hold you,non-biased,
53,"No, Jade just didn't inherit the “grow up and act like an adult gene”. It’s becoming a less common “disorder”, which to some, is unfortunate.",non-biased,
54,Linkspam?\nIs that what's causing the formatting errors present in the article since 2009?,non-biased,
55,Oh my god what horrible news to wake up to. David Carradine.,non-biased,
56,A van full of fuel cylinders blown in front of a Christian lobby group building. No casualties reported. It appears to have taken late in the evening.,non-biased,
57,@salsb No I will not say how I voted.,non-biased,
58,"back into wow after my 2 month break, my guild just killed yogg and now I show up, looks bad I guess lol",non-biased,
59,i want more twitter friens maybe if i add miley cyrus i'll gain 1000000 new followers hahhahahahahaha,non-biased,
60,"@nick_carter hiiiiiii, Nick, good morning???.... como estas tu?.....",non-biased,
61,Capitalism at it's inevitable worst.\nThere can be only one ...\nTime to update the anti-trust laws.,biased,
62,"""Trudeau will pay a high price for Trans Mountain’s approval""\n\nPerhaps. But no one will pay a higher price than the Canadians who got stuck with this idiot after he was voted into power by morons.",biased,
63,no worries. trump will easily solve this minor issue. then the fakers can get back to their jobs....oh wait never mind.,biased,
64,i wouldn't mind watching the derby while sipping on a mint julep,non-biased,
65,"Oh, woe! The U.S. is in such a divisive state! \n\nGood news, I say. People have a right to protest and now feel free to do so (they didn't always...very few U.S. protests before mid-20th century.) And now--thank you, mass media and electronic communication--the protests have real clout. About time its people rose up (although, as usual, their champion is deeply flawed and--worse, this time--may actually represent the people the ""masses"" despise: the wealthy 1%. The greatest irony of all.)\n\nBut it didn't start with Vietnam. It didn't really start with Civil Rights movement. It may have started in 1860, when (a few) people began talking about ""Robber Barons""--the phrase gained wide for the first time and referred to Cornelius Vanderbilt, and later to other wealthy 19th and early-20th century industrialists who got rich on the back of workers. The only outlets: a few newspapers and magazines that relatively few people saw let alone read.",biased,
66,@DominaCaffeine @Storm_Crow wasn't me I didn't tell,non-biased,
67,oh quintana i love you i really want to see him today and compete with him in the ice rink ): i really want it but now what? al least ..,non-biased,
68,"Oil is cyclical, yes some people predicted 120.00/barrel wouldn't last forever. 40/barrel won't last forever either. Some people said 120.00/bl would be the floor. Some people say 40/bbl is the new enduring price. Some people are wrong.",non-biased,
69,Another whackadoodle swamp creature rears its ugly head. Smack it!,biased,
70,Is it the extraction and logging of DNA what makes it so slow? Why have they not made a faster test by now? Why is there a backlog? Disinterest? Why are our samples sent to the L48 when we have a brand new and huge crime Lab? What does it do? More offices than labs? So many why's! Victims deserve justice!,biased,
71,""" \n :The featured article is History of Bradford City A.F.C., as per the """"Full article"""" link. The Bradford City A.F.C. article is a different animal entirely. I think that, not surprisingly, you were misled by the link in the first line. It might be as well to remove that link, since the article yp which it goes is pretty much rubbish. I hope all is clear now. """,non-biased,
72,@talentednaomi well we ALL were waitin for u baby!!,non-biased,
73,Suggestive fact \nI just encountered these two words used together and went on a search to find what they mean when used together like this (assuming that the sum is greater than the parts). I found many incidences of the two words being used together but no definition of them. One snippet in the search results said something like 'one suggestive fact is better than a few bushels of theory' which seems to be suggestive of the definition....\n\nI am just wondering if the definition of suggestive fact could belong here and if there is a philosopher who could tackle its meaning?,non-biased,
74,"""Had a religious conversion""\n\nProbably just a smoke screen to stop Christian Terrorists from shooting up her home.\n\nCSIS rates Christian / Right Wing / Anti-abortion terrorists as more likely sources of domestic terrorism than ""Radical Islam"". We have seen Canadian Anti-Abortion nut cases bomb clinics, shoot abortion providers, and assault staff outside clinics. Gordon Watson of Sidney BC, who assaulted a worker at Everywoman's Health Clinic in Vancouver, had a previous conviction for an assault that split a man's skull. They demanded names and addresses from BC MoH, then whined to OIPC BC.\n\nhttp://www.nytimes.com/1998/10/29/nyregion/sniper-attacks-on-doctors-create-climate-of-fear-in-canada.html\n\nhttp://www.nytimes.com/1998/10/29/nyregion/sniper-attacks-on-doctors-create-climate-of-fear-in-canada.html\n\nhttps://en.wikipedia.org/wiki/James_Charles_Kopp\n\nAt least they feel embarrassed by the company they keep:\n\nhttp://www.theinterim.com/issues/society-culture/the-other-side-of-the-story/",biased,
75,mmkay. so monday=johns last day end of courses this week. then john graduates then exams. then summer,non-biased,
76,"""The McKesson Corporation, an Aurora-based medical supply firm......""\n\nIs that the same McKesson that the 60 Minutes investigation found was donating very heavily to Republicans in Congress to make sure that their opiate drugs were far less regulated, contributing to the overall opioid crisis?",biased,
77,@defiantwisdom I will If you see me calling it Twatdeck again..you know I've fallen out with it again!,non-biased,
78,"If we have any goal in dialogue, (with Muslims and others) it is to convert ourselves, not the other person. No one is moved unless we ourselves are moved. Dialogue also means no Muslim bans. As for God not needing protection from us, this is not only about not needing to protect His honor (as ISIL and some Trads attempt to do), but is also about who morality is for. God is perfet, He does not need us to be moral for Him but for ourselves for a better life here. \nThe Pope’s Sunday homily, which every priest should have given, shows us that worship without love for our fellows is hypocracy, with this love including charity. What is charity? Is it making others behave? I think not. Is it opposing the efforts of the state to do justice and charity? Again, Jesus preached a social kingdom of God, so no.",biased,
79,"@ramsden We're off in October, flights are booked, very excited",non-biased,
80,"Hoping Don Olson don't jump the line from D to R after we elect him as D. At least give us a reason next time. Lisa whispers a command and there goes Negeak. Why didn't someone challenge Foster from Nome? Another wanna be Republican. Okay guys from the North, lets see how you deal this year! Negeak has to be replaced!",biased,
81,It will not be long before they go after SS and medicare to fund the wall.,biased,
82,@MaraBG Tomorrow will be better to it is an all out block sale advertised on craigslist,non-biased,
83,I made a webpage to tell a bit about myself and chart my #easactive progress. http://ronsfitnesschallenge...,non-biased,
84,http://bit.ly/VwV6H guys get crackin vote for tom,non-biased,
85,"777-ER, the only person with knowledge.. Just ask him.... R U part of the Nation Laughs come another 5-6 weeks, giving opinion on another losing team?",non-biased,
86,"Isn't the water at Sloans lake kinda nasty, e-coli or something? That being said, the setting is real nice, Chatfield, Bear Creek and Cherry Creek are all pretty obviously reservoirs, and at least bear creek is too close to 470.",non-biased,
87,"That the cockpit voice recording (with it's impressive 1970's technology) was not impounded IMMEDIATELY by the NTSB or safe guarded by Air Canada is utterly ridiculous. Complete incompetence at best, corporate malfeasance at worst.",biased,
88,Up early in Canada watching CNN....thank you to Canadians who like US news just as much as me,biased,
89,http://tinyurl.com/ry9wap Hi. Hope it is real to find a good man with internet Check my pictures! It seems you are a nice man... I c ...,non-biased,
90,@SongzYuuup awwwwwwwww...I'm mad I can't make it.,non-biased,
91,Outstanding...I am in awe of your courage and willingness to share a wonderful experience. Thank you Kevin for standing up and for your commitment/service to America.,non-biased,
92,"Senate Bill 410 is the Mafia-cation of the bureaucrats who run government services.\n\nThe editorial board asks, ""“Why it passed the Legislature is anybody's guess""\nMy guess is that it passed the legislature because public unions ensure reelection of their political representatives. \n \n""Legislature and the Ige administration continue to steadily pay down the multi-billion-dollar unfunded liability...""\nI don't think the term ""pay down"" is correct, because the unfunded government liabilities is an exponentially growing problem, especially with health care inflation for an increasing amount of government worker retirees.\n\nWhy is it that private unions are declining, and public unions are becoming more empowered?",biased,
93,"Good post, but it's a pipe dream, Tyrone. The Alaska Dispatch- owned by East Coast Leftist Millionaire Alice Rubenstein (Rogoff)- would never allow for it. She overtly endorses Obama and has hosted him at one of her many homes. Her paper's composition is half Leftist Washington Post, half Leftist New York Times, with some Alaska writers thrown in to keep things fun and seemingly ""local.""\n.\nHer recently-published New Year's note to readers in the Dispatch had such a patronizingly paternalistic feel to it, the Dispatch had to bar any and all comments from being made about it, because so many readers couldn't stomach her Leftist hubris and self-aggrandizement.",biased,
94,"EVERNOTE : Due to shipping restrictions, this contest is open to residents of the United States and Canada only.",non-biased,
95,Grey's Anatomy has ended must wait til next season. Boo So You Think You Can Dance is back! Yay!!,non-biased,
96,"Not sure why our friendly neighbourhood Your Leafs reporter's all over Ovechkin, he's outplayed Matthews, though, or at worst it's even. I have no doubt whatsoever that the great unwashed who flit 'round this site in a bellicose and bullying fashion, I have no doubt they think Matthews has been tremendous, but their impartiality, just looking at their posts, well, OK.\n\nThis series is only close cuz Holtby has been doing his Frederik Andersen impersonation.\n\nHoltby has let his team down. Your Leafs like to bring it, it's the only way these guys know how to play. Defence is weak, they have no idea how to play in their own zone, and there's no way Andersen is anywhere near good enough to hold the fort behind that defence in front of him. Holtby, on the other hand, he's a vet, he's got good #s, was on Team Canada, he's not keeping up his end of the bargain, and if he continues to play poorly, well then, it's anybody's series.",non-biased,
97,If Comey hits his target Trump will go down in flames on that single shot,biased,
98,158 follwers only my 2nd day on twitter woohoo! yes there will be a season 4,non-biased,
99,"Maybe we should lock up the drug and alcohol dealers! _ Oh-- wait -- they are ""community leaders"" ---",biased,
100,"It amazes me the amount of ire people feel towards any public transportation here. The population is growing very quickly which will equate to more cars on the road and will make for even worse traffic. Public transportation will help solve this. I promise you commuting by sitting on a train is a lot less stressful than commuting by driving in traffic. Also, there are companies that will subsidize employee's commutes for taking public transportation. It's something everyone should look in to. It will save a lot of money on gas and parking.",non-biased,
101,Please go see your local free clinic for your medications review I believe it might be a bit overdue. Peace love and Woodstock.,non-biased,
102,Are you sure it is? How is it transmitted by rimming? Is it if the (HIV-positive) rimmer's saliva gets on the rimmee's anal cavity and its muccous membranes with naturally occuring microtears?,non-biased,
103,Yay Betsy's clean now thanks to @Lastlifer!!!!!,non-biased,
104,@stephrosevear moi aussi. been living off highlights BUT I just found this: http://bit.ly/QirRM,non-biased,
105,UNFAIR clickbait!!!!\n\nI thought this was an article about part-time HNL mayor Krook Crapwell!!!,biased,
106,"IRT Walaau808, in Hawaii, if you wanted to work in a City & County or State job, you will become a Public Sector Union member. If you sign the release, you continue to pay Public Sector Union dues at a reduced rate and do not have a vote in Union matters.",biased,
107,"The Muni won't even maintain the parks that they already have. The pocket park next to the bus stop on the corner of Spenard and Northwood is a mess. \n\nIt smells like a toilet, is covered with litter and graffiti, there's bird vetch growing everywhere and hasn't seen a lick of even basic maintenance in years. If you're a tourist in Spenard, this is likely the first park you will come across if you were to go on a walkabout of the neighborhood. \n\nIt's absolutely disgusting. \n\nAll of the nice accoutrements that were added to Spenard in the 90's are in disrepair and either need to be maintained or removed. The work done on Northwood just a couple of years ago is also slowly creeping into disrepair with yet more bird vetch overtaking the vegetation that was bought and paid for by the city.",biased,
108,"Re RSP, this is incorrect. Your RRSP is really 2 accounts -one is yours, one is the governments. If you have $100,000 in a RRSP, and or marginal tax rate is 50%, you have $50000 and the government has $50000 (remember the deduction you got when you put the money in?). In your account, all the growth is tax free and you pay no tax when you take your money out of your RRSP. You do pay back the governments account so it feels as though you are paying tax, but you are really just paying back the government the money it lent you plus growth. Therefore, paying no taxes on the growth of your money is better than paying capital gains and getting the dividend tax credit.",non-biased,
109,"Rather, God wants to BE WITH YOU and with EACH person of your family while on vacation. He wants to be invited along, with everyone else in heaven. Pack them in!\n\nHe is always working, and He has some projects waiting to work on inside of each of us. \n\nHe wants to work in us, while we're on vacation.\n\nThis is a much better view of vacation than mere ""down time"".\n\nAs a good priest told me...""when we get to heaven, God isn't going to be 'tucking you in'.\n\nGrow closer to God while on vacation. Don't give in to ""vegetating"".",non-biased,
110,"Wow, please take this guy off the list of any type of cultural events or anything to do with historical preservation because this is the type of person who would love to see everything destroyed and could care less. Pretty sad the sarcasm, if that's what it was, because it came off that way.",biased,
111,@GalleryVittoria thank you so much YOU have a sweet shop too,non-biased,
112,"Different scenarios play out if voters vote multiple times with knowledge each time about what has gone before, rather than if voters must rank all their preferences before the votes are first counted. Nik Nanos conflates the two scenarios.\n\nThere’s every indication that social conservative candidates & free market purist candidates led both fundraising & membership sales. We know who is or isn’t proficient in French and English. This suggests which social conservatives & free marketers are in contention & that\n\n(a) no centrist candidate will be in the last round, \n\n(b) a social conservative and a free marketeer will be in the last round, and\n\n(c) lack of proficiency in both French and English will cull several social conservatives and free marketeers from contention. \n\nLike the last GOP leadership convention of sainted memory, the Conservative Party one promises to select a winner outside the margins of what heretofore has been viewed as a viable leader of a major Federal Party.",non-biased,
113,"Never got to even view, nor rate your answer.\n\nHave a good night.",non-biased,
114,"If the 80% of $11 million is a loan than it wouldn't be such a bad deal. It would be nice to fall into something like that to start a business. $8.8 million in itself would heat a lot of houses for a while and it seems that there is wood available for supplemental heat. However, they might find something and even enough to help some of the rest of the state which would help pay off the loan that state should be giving.",non-biased,
115,"if that's the ethics you live by, please don't vote. your understanding of criminal behavior and laws is utterly absent.",biased,
116,"Scathing and scandalous! I like it! But, I dislike Trump to my very bones. He shouldn't even be a dogcatcher.",biased,
117,"""Morality"" and international politics coincide fortuitously at best.\n\nCountries don't have 'morals' they have 'interests' which 'interests' tend to change as one regime after another comes into power.\n\nAnd it doesn't matter if the new regime was elected (US and France most recently) or by some other means. \n\nBut the bottom line is always the ""Golden Rule""; those portions of the country's society with the most gold, rule. Russia, the US, Saudi Arabia, Mexico. China are all alike in that regard.",non-biased,
118,@Oedipus_Lex Or even... 'Got to give them 8/10 for stamina...'. Typing not working today.,non-biased,
119,"I thought Cuomo often sounded arrogant.\nI was amazed how Anderson Cooper kept his hair coiffed.\nBut, one of their junior female reporters was standing on a balcony in gale-force winds barely able to speak, looking like any second she was going to be blown over the railing and become a fatality. Totally unnecessary. Intelligent people, even land-locked people like me, know that hurricanes produce hazardous conditions.",non-biased,
120,Neither lauren OR torie are here today Wtf,non-biased,
121,"Aintie; we know who Saullie is and why he acts as he does, sport. Even you must admit he only does it for the attention and not for any constructive merit.",biased,
122,Naive fools or strategic globalists with an agenda to destroy white culture and Christianity and who refuse to acknowledge that radical Islam is growing in my country \n\nDo not belong in my Canada,biased,
123,"If you're good at what you do, there'll always be a job for you.",non-biased,
124,"""\n\nHowever, I havn't got anything to support the Awards section, please add these if you have them! (talk) """,non-biased,
125,@twheresweevil Please give it a few episodes before judging.,non-biased,
126,Because we are only little folk and they know what is best for us. It's the Liberal mantra.,biased,
127,""" \n\n Welcome \n\n Hello and welcome to Wikipedia! We appreciate encyclopedic contributions, but some of your recent contributions do not conform to our policies. For more information on this, see \n *Wikipedia's policies on vandalism \n *Policies on banned or discouraged content \n\n If you'd like to experiment with the wiki's syntax, please do so on Wikipedia:Sandbox rather than in articles. \n\n If you still have questions, there is a new contributor's help page, or you can write {{helpme}} below this message along with a question and someone will be along to answer it shortly. You may also find the following pages useful for a general introduction to Wikipedia. \n *The five pillars of Wikipedia \n *How to edit a page \n *Help pages \n *Tutorial \n *How to write a great article \n *Manual of Style \n *Policy on neutral point of view \n *Guideline on external links \n *Guideline on conflict of interest \n I hope you enjoy editing Wikipedia! Please sign your name on talk pages using four tildes (~~~~); this will automatically produce your name and the date. Feel free to write a note on the bottom of if you want to get in touch with me. Again, welcome! (·) """,non-biased,
128,"ALL history memorabilia need to be retained and honored by all. Many on both sides lost their all for their ideals. Slavery is wrong and it no longer exists, so move on and work hard and progress and forgive past ignorance.",,leaning biased
129,vegging at home in my comfy pjs. prayinggg when i wake up there will be sunshine. 3 weeks straight of rain on the east coast. not cool.,non-biased,
130,The study is flawed w/ its ratings for tickets and running red lights. Here in South Florida police rarely issue tickets for speeding and running red lights and stop signs. And drivers are much more aggressive and rude.,non-biased,
131,"@kevinf311 oooh, yeah... see, Internet was rather sporadic here and I only just saw that tweet. No pics taken, sry",non-biased,
132,"One in the hand is worth 2 in the bush. Take it when it is being offered as you never know when some lefty in Ottawa might decide to claw it back from all the fortunate rich people who have more than $50,000.00 a year to live on. If you can live without it, just invest the money and leave it to top up when you do need it.",biased,
133,I'm thinking the arrested development topped out at about the seven year old level.,non-biased,
134,": Ooops , fast hätte ich´s vergessen: Wenn Du weisst wie man hier die Bilder schön hintereinander weg ordnen kann , dann mach´s bitte. \n Deine",non-biased,
135,"Investigate for what? Throwing individuals in this would amount to nothing more than deflection. What we're trying to ascertain is the extent of involvement by Russia in our election, and whether any of the current office-holders benefited from or colluded in that.",biased,
136,""":We messaged each other at the same time! Posted another reply on my talkpage ;) \n\n""",non-biased,
137,"""[In February], the Justice Department had issued a new definition of “fugitive” that allows more people with outstanding arrest warrants to legally buy guns. Under the revised rule, the FBI can block gun sales only to fugitives who have fled the states where their arrest warrant was issued. The change got little media coverage, though some law enforcement leaders raised concerns.""\n\nCan someone please explain to me why this is even remotely a good idea? Fix your warrants than you can buy your gun. Under what circumstances does this not make sense?",non-biased,
138,Going to h and c to see if they have my house keys,non-biased,
139,"""\n\nIn that case we should add Jews for Jesus and Rael links... since you are arguing that a group that worships """"The Rebbe"""" as a god, read """"Tanya"""" instead of """"Torah"""" is considered Jewish. They are not considered Jewish by most normative standards, have caused a lot of anti-Semitism, Rabbinical Council of America has specifically denounced them, yes they are a rich cult because of people that do not know better and because of the scandalous activities they are involved in but that does not make them Jewish nor should we be corrupt and bind to their money.""",biased,
140,feelin' for all my Pen fans right now,non-biased,
141,"To Jim, \n\nNational Parks support naturally regulating eco-systems which allow wildlife to regulate their own populations with as little human influence as possible. NPS is not allowed to manipulate wildlife populations for abundance or favor one species over another. \n\nThis allows scientific study of an unaltered system which can then be used to compare to heavily managed systems outside the parks. This provides a baseline for a variety of scientific studies. \n\nRegarding adding additional entrances into the park - first this would take significant govt spending in the hundreds of millions of dollars (probably much more) when NPS already has an 11 billion dollar maintenance backlog among all National Parks, & it would take years and possibly decades to complete & would be incredibly disruptive to the current & future tourism seasons.\n\nDomesticating Denali through more development is not the answer; protecting what we have & supporting the park that contributes so much to Alaska - is.",non-biased,
142,"A cynical, probably racist, civil liberties crushing, drug warrior. Yay. Woohoo. Really, I'm so enthused to know that this man will be the one incarcerating more minorities and poor people for victimless drug crimes, giving even more power to the Cartels by escalating that 50 year failure known as the drug war, protecting the rights of minorities *cough, we're screwed, cough* and oh yeah, responsible for representing in court and pursuing the president's domestic policies. That'll go swell. Maybe he'll be too busy with that latter one to do any of the others? \nCongratulations America. We got J Edgar Hoover's younger, dumber brother as the Attorney General.",biased,
143,that would be the pot calling the kettle black...,,
144,"And that would be @JinOhChoi , damn twitter not putting spaces where there should be spaces",non-biased,
145,"Same ol' readers and commenters from the defunct Sun and barely there Rebel. Same ol' status quo, which is to say - keep it white, keep it white, right is white. Blech!",biased,
146,@stephenfry Why can't my twitter profile follow you? You appear to have blocked me when you don't even know me...?,non-biased,
