labeler,labeler_row_id,is_iaa,beads_row_idx,gold_label,non_beads_vote
a,64,0,3237,non-biased,split
a,65,0,2053,biased,biased
a,66,0,4993,biased,non-biased
a,67,0,1619,non-biased,biased
a,68,1,5253,biased,split
a,69,0,3766,non-biased,split
a,70,0,3695,biased,biased
a,71,0,1242,non-biased,split
a,72,1,3357,biased,non-biased
a,73,0,775,non-biased,biased
a,74,1,4953,non-biased,split
a,75,0,4317,non-biased,non-biased
a,76,0,4478,biased,biased
a,77,0,5992,biased,split
a,78,0,469,biased,non-biased
a,79,1,188,non-biased,biased
a,80,0,3664,biased,biased
a,81,1,4171,biased,non-biased
a,82,0,489,biased,split
a,83,0,1030,non-biased,split
a,84,0,1896,non-biased,biased
a,85,0,4950,non-biased,biased
a,86,0,5864,non-biased,split
a,87,0,3743,biased,split
a,88,0,2592,non-biased,split
a,89,1,3351,biased,split
a,90,1,485,non-biased,biased
a,91,0,1858,non-biased,biased
a,92,0,2519,biased,biased
a,93,1,4713,biased,split
a,94,0,768,non-biased,biased
a,95,1,6221,non-biased,biased
a,96,0,5886,non-biased,biased
a,97,0,5111,non-biased,biased
a,98,1,1787,non-biased,biased
a,99,0,1504,biased,non-biased
a,100,0,3001,non-biased,split
a,101,0,4359,non-biased,split
a,102,1,3335,biased,split
a,103,0,3093,non-biased,biased
a,104,0,4773,biased,biased
a,105,0,6215,non-biased,split
a,106,1,251,non-biased,biased
a,107,1,6802,non-biased,split
a,108,0,190,biased,split
a,109,0,1728,non-biased,biased
a,110,0,4185,non-biased,biased
a,111,0,4868,biased,split
a,112,0,1820,non-biased,biased
a,113,1,5829,biased,split
a,114,0,2729,non-biased,biased
a,115,0,2188,biased,non-biased
a,116,0,360,non-biased,split
a,117,1,6356,biased,split
a,118,0,5171,non-biased,biased
a,119,0,4752,biased,non-biased
a,120,0,658,biased,non-biased
a,121,0,4577,biased,split
a,122,0,4693,non-biased,biased
a,123,0,5519,biased,biased
a,124,0,2169,non-biased,biased
a,125,1,5539,non-biased,biased
a,126,0,6587,non-biased,biased
a,127,0,2034,biased,split
a,128,0,5314,biased,split
a,129,0,492,biased,non-biased
a,130,0,6642,biased,split
a,131,1,596,non-biased,biased
a,132,1,1741,non-biased,biased
a,133,1,5529,biased,split
a,134,0,1093,biased,split
a,135,1,6210,non-biased,biased
a,136,0,5597,non-biased,biased
a,137,0,3183,non-biased,split
a,138,0,2914,biased,biased
a,139,0,261,biased,split
a,140,0,1963,non-biased,biased
a,141,1,3589,biased,non-biased
a,142,0,2350,non-biased,biased
a,143,0,4646,biased,split
a,144,0,2868,biased,split
a,145,0,4757,non-biased,split
a,146,0,473,non-biased,biased
a,147,0,3834,non-biased,non-biased
a,148,0,298,biased,biased
a,149,0,1309,biased,split
a,150,0,6572,non-biased,split
a,151,0,2197,biased,biased
a,152,1,199,non-biased,biased
a,153,1,667,biased,split
a,154,0,1340,non-biased,split
a,155,0,1533,biased,split
a,156,0,542,biased,biased
a,157,0,3218,non-biased,split
a,158,0,3933,non-biased,split
a,159,0,1380,biased,split
a,160,0,860,biased,split
a,161,0,4441,non-biased,split
a,162,0,4400,non-biased,biased
a,163,0,6185,biased,split
a,164,0,1744,biased,non-biased
a,165,0,748,biased,split
a,166,0,912,biased,split
a,167,0,386,non-biased,biased
a,168,1,3947,biased,biased
a,169,1,4451,biased,split
a,170,1,756,biased,split
a,171,0,5444,biased,biased
a,172,0,2160,non-biased,split
a,173,1,1079,biased,biased
a,174,1,1649,non-biased,split
a,175,0,851,non-biased,biased
a,176,0,4394,biased,split
a,177,0,580,biased,biased
a,178,0,1726,biased,split
a,179,0,3398,non-biased,biased
a,180,0,5291,non-biased,biased
a,181,0,140,non-biased,biased
a,182,1,917,non-biased,biased
a,183,1,3043,biased,biased
a,184,0,5909,biased,non-biased
a,185,0,2588,non-biased,biased
a,186,0,5963,non-biased,split
a,187,0,1566,biased,non-biased
a,188,0,322,biased,split
a,189,0,5319,biased,biased
a,190,1,2906,non-biased,split
a,191,0,5492,biased,biased
a,192,0,2917,non-biased,non-biased
a,193,0,3921,biased,split
a,194,0,6116,non-biased,split
a,195,1,6007,biased,split
a,196,0,327,biased,biased
a,197,0,2162,biased,biased
a,198,0,21,non-biased,biased
a,199,0,1828,non-biased,biased
a,200,0,5279,non-biased,biased
b,1,1,1741,non-biased,biased
b,2,0,6339,non-biased,split
b,3,1,5567,non-biased,biased
b,4,0,5788,biased,non-biased
b,5,1,1281,non-biased,split
b,6,0,5120,non-biased,split
b,7,0,1385,non-biased,biased
b,8,0,838,biased,biased
b,9,0,6302,non-biased,split
b,10,1,6221,non-biased,biased
b,11,0,1663,biased,split
b,12,0,3922,biased,non-biased
b,13,1,485,non-biased,biased
b,14,0,3990,non-biased,biased
b,15,1,188,non-biased,biased
b,16,1,4171,biased,non-biased
b,17,0,6554,biased,non-biased
b,18,1,6318,non-biased,biased
b,19,1,4029,non-biased,split
b,20,0,6065,non-biased,non-biased
b,21,0,4797,non-biased,biased
b,22,0,3044,non-biased,split
b,23,1,917,non-biased,biased
b,24,0,2523,non-biased,split
b,25,0,5979,non-biased,biased
b,26,1,3947,biased,biased
b,27,1,467,biased,split
b,28,0,6583,biased,split
b,29,1,3357,biased,non-biased
b,30,0,3643,non-biased,split
b,31,0,2765,biased,split
b,32,0,4196,biased,biased
b,33,0,5815,non-biased,biased
b,34,1,5041,biased,split
b,35,0,5234,non-biased,split
b,36,0,6605,non-biased,biased
b,37,0,3295,biased,split
b,38,0,4562,biased,split
b,39,0,833,biased,non-biased
b,40,0,6040,non-biased,biased
b,41,0,4885,non-biased,split
b,42,0,2168,biased,non-biased
b,43,1,667,biased,split
b,44,0,2969,non-biased,biased
b,45,0,73,biased,non-biased
b,46,0,4703,biased,non-biased
b,47,0,4301,non-biased,biased
b,48,0,5958,non-biased,split
b,49,0,3962,non-biased,biased
b,50,0,4276,non-biased,biased
b,51,0,468,biased,biased
b,52,0,4053,biased,split
b,53,1,596,non-biased,biased
b,54,0,1046,non-biased,biased
b,55,0,3625,non-biased,biased
b,56,0,5483,non-biased,split
b,57,0,3710,non-biased,split
b,58,0,379,non-biased,split
b,59,1,4451,biased,split
b,60,0,6466,biased,non-biased
b,61,0,1168,non-biased,biased
b,62,0,4837,non-biased,biased
b,63,0,6246,non-biased,biased
b,64,1,5413,biased,split
b,65,0,4841,non-biased,split
b,66,1,5253,biased,split
b,67,1,6356,biased,split
b,68,1,6802,non-biased,split
b,69,0,5568,non-biased,biased
b,70,0,5095,non-biased,biased
b,71,0,1211,biased,biased
b,72,0,6200,biased,split
b,73,0,6063,biased,split
b,74,1,5872,non-biased,biased
b,75,0,342,biased,non-biased
b,76,0,2934,non-biased,biased
b,77,0,4547,non-biased,split
b,78,0,6771,non-biased,biased
b,79,0,3707,biased,non-biased
b,80,1,982,biased,biased
b,81,0,5221,non-biased,biased
b,82,0,2066,biased,split
b,83,0,5474,biased,split
b,84,0,4340,biased,biased
b,85,0,4190,biased,biased
b,86,1,3335,biased,split
b,87,0,2998,non-biased,biased
b,88,0,400,biased,biased
b,89,0,1784,biased,split
b,90,0,1895,biased,non-biased
b,91,0,2358,biased,biased
b,92,0,46,non-biased,biased
b,93,1,3520,non-biased,biased
b,94,1,3589,biased,non-biased
b,95,0,5487,biased,biased
b,96,0,2323,non-biased,biased
b,97,0,2967,biased,biased
b,98,0,3248,biased,split
b,99,0,3678,non-biased,biased
b,100,0,1735,non-biased,biased
b,101,0,79,biased,split
b,102,0,5399,non-biased,split
b,103,0,2988,biased,split
b,104,0,589,biased,split
b,105,0,6559,non-biased,biased
b,106,0,837,non-biased,split
b,107,1,2906,non-biased,split
b,108,0,457,biased,split
b,109,0,606,biased,biased
b,110,1,251,non-biased,biased
b,111,0,809,biased,non-biased
b,112,1,5539,non-biased,biased
b,113,0,4037,biased,non-biased
b,114,0,4660,biased,split
b,115,0,3400,non-biased,biased
b,116,0,1794,non-biased,biased
b,117,0,4499,biased,split
b,118,1,1332,biased,biased
b,119,0,5200,non-biased,biased
b,120,0,2064,biased,split
b,121,1,3043,biased,biased
b,122,0,1890,non-biased,biased
b,123,1,3351,biased,split
b,124,0,4043,biased,non-biased
b,125,0,5941,biased,split
b,126,0,1578,biased,biased
b,127,0,3794,biased,non-biased
b,128,0,4258,non-biased,biased
b,129,1,5529,biased,split
b,130,0,1864,non-biased,biased
b,131,1,2005,non-biased,non-biased
b,132,0,2330,biased,biased
b,133,0,4471,non-biased,split
b,134,0,2128,non-biased,split
b,135,0,1989,non-biased,biased
b,136,0,1221,biased,non-biased
b,137,1,5829,biased,split
b,138,0,405,biased,non-biased
b,139,1,6210,non-biased,biased
b,140,1,4713,biased,split
b,141,0,803,non-biased,split
b,142,0,878,non-biased,biased
b,143,0,3386,biased,biased
b,144,1,2143,non-biased,biased
b,145,0,5030,non-biased,biased
b,146,1,756,biased,split
b,147,0,5913,biased,biased
b,148,0,1460,non-biased,biased
b,149,1,3815,biased,biased
b,150,0,1669,biased,biased
b,151,0,1957,biased,non-biased
b,152,0,6457,biased,split
b,153,0,1145,biased,split
b,154,0,5675,biased,biased
b,155,0,6804,biased,biased
b,156,0,5343,non-biased,split
b,157,0,1714,non-biased,split
b,158,0,4596,non-biased,split
b,159,0,2516,non-biased,biased
b,160,0,4585,biased,non-biased
b,161,1,1079,biased,biased
b,162,0,3847,biased,split
b,163,0,1321,non-biased,biased
b,164,0,6635,biased,split
b,165,0,4463,biased,biased
b,166,0,4130,non-biased,biased
b,167,1,6007,biased,split
b,168,0,4212,biased,non-biased
b,169,1,3067,non-biased,biased
b,170,0,3057,non-biased,biased
b,171,0,138,biased,biased
b,172,0,4035,biased,biased
b,173,1,4953,non-biased,split
b,174,0,3610,non-biased,biased
b,175,1,4270,biased,biased
b,176,0,3495,biased,split
b,177,1,199,non-biased,biased
b,178,0,6586,non-biased,split
b,179,0,4863,non-biased,split
b,180,0,357,biased,biased
b,181,0,252,non-biased,split
b,182,0,1757,biased,split
b,183,0,4401,non-biased,biased
b,184,0,1366,biased,split
b,185,0,6190,non-biased,biased
b,186,1,1787,non-biased,biased
b,187,0,1307,non-biased,biased
b,188,1,6710,non-biased,non-biased
b,189,0,4790,non-biased,biased
b,190,1,2075,biased,split
b,191,0,3424,biased,split
b,192,0,714,non-biased,biased
b,193,1,1649,non-biased,split
b,194,0,2144,non-biased,biased
b,195,0,2590,biased,biased
b,196,0,3084,biased,split
b,197,0,549,biased,split
b,198,0,2393,non-biased,split
b,199,0,5598,biased,split
b,200,0,5643,biased,biased
c,1,0,762,biased,split
c,2,0,4506,non-biased,biased
c,3,0,4465,non-biased,split
c,4,1,5041,biased,split
c,5,0,2018,biased,split
c,6,1,4171,biased,non-biased
c,7,1,4953,non-biased,split
c,8,0,1048,biased,non-biased
c,9,0,6645,biased,biased
c,10,0,1285,biased,split
c,11,0,1948,biased,split
c,12,0,2789,biased,split
c,13,0,6273,non-biased,biased
c,14,0,22,biased,biased
c,15,0,4556,biased,biased
c,16,0,5225,biased,split
c,17,0,5374,biased,split
c,18,0,1261,non-biased,biased
c,19,1,6221,non-biased,biased
c,20,0,1282,biased,split
c,21,0,1556,non-biased,biased
c,22,0,581,non-biased,biased
c,23,0,705,non-biased,biased
c,24,0,5981,biased,split
c,25,0,3599,biased,split
c,26,0,5435,biased,biased
c,27,0,4550,non-biased,biased
c,28,0,795,biased,split
c,29,1,467,biased,split
c,30,0,890,biased,biased
c,31,0,2384,biased,split
c,32,1,5413,biased,split
c,33,0,3051,non-biased,biased
c,34,1,4713,biased,split
c,35,1,6210,non-biased,biased
c,36,0,4284,non-biased,biased
c,37,0,3083,biased,non-biased
c,38,0,1296,non-biased,biased
c,39,0,904,non-biased,non-biased
c,40,1,199,non-biased,biased
c,41,0,4912,biased,split
c,42,0,5803,biased,non-biased
c,43,1,188,non-biased,biased
c,44,0,5849,non-biased,biased
c,45,0,5579,non-biased,biased
c,46,0,852,non-biased,split
c,47,0,2483,biased,split
c,48,0,6153,non-biased,biased
c,49,0,3681,non-biased,biased
c,50,0,5210,non-biased,biased
c,51,1,6356,biased,split
c,52,0,5637,non-biased,biased
c,53,0,752,non-biased,split
c,54,0,1886,biased,biased
c,55,1,6710,non-biased,non-biased
c,56,0,3377,non-biased,split
c,57,1,3067,non-biased,biased
c,58,1,1281,non-biased,split
c,59,1,5539,non-biased,biased
c,60,1,4451,biased,split
c,61,0,2905,non-biased,biased
c,62,1,3589,biased,non-biased
c,63,1,4029,non-biased,split
c,64,1,4270,biased,biased
c,65,0,5961,non-biased,biased
c,66,0,3163,biased,biased
c,67,0,1139,non-biased,split
c,68,0,4601,biased,non-biased
c,69,0,4825,biased,biased
c,70,0,786,biased,split
c,71,0,2497,non-biased,non-biased
c,72,1,5872,non-biased,biased
c,73,0,1069,biased,split
c,74,0,5175,non-biased,split
c,75,0,3537,biased,biased
c,76,0,1067,biased,biased
c,77,0,5402,biased,biased
c,78,0,1147,non-biased,biased
c,79,1,5829,biased,split
c,80,0,2465,non-biased,split
c,81,0,2656,biased,split
c,82,0,3808,biased,non-biased
c,83,0,4633,biased,split
c,84,1,1649,non-biased,split
c,85,0,6447,biased,non-biased
c,86,0,3393,biased,split
c,87,0,6158,non-biased,biased
c,88,0,5728,non-biased,biased
c,89,0,4114,non-biased,biased
c,90,0,4083,non-biased,biased
c,91,0,225,non-biased,split
c,92,0,5389,non-biased,split
c,93,0,4592,biased,biased
c,94,1,5253,biased,split
c,95,0,1801,non-biased,biased
c,96,0,6108,biased,split
c,97,0,2192,biased,split
c,98,0,5836,non-biased,biased
c,99,0,4047,non-biased,biased
c,100,0,3541,biased,biased
c,101,1,917,non-biased,biased
c,102,1,2005,non-biased,non-biased
c,103,1,5567,non-biased,biased
c,104,1,251,non-biased,biased
c,105,0,647,non-biased,split
c,106,1,485,non-biased,biased
c,107,0,3214,non-biased,biased
c,108,0,5206,non-biased,biased
c,109,0,1760,non-biased,biased
c,110,0,2952,biased,split
c,111,0,5730,non-biased,biased
c,112,1,1787,non-biased,biased
c,113,0,5202,biased,non-biased
c,114,1,6007,biased,split
c,115,1,3947,biased,biased
c,116,1,6318,non-biased,biased
c,117,1,2075,biased,split
c,118,0,1721,biased,split
c,119,1,3357,biased,non-biased
c,120,0,6045,non-biased,split
c,121,0,5367,biased,biased
c,122,0,4488,biased,biased
c,123,0,539,non-biased,split
c,124,0,2636,biased,non-biased
c,125,1,5529,biased,split
c,126,0,5901,biased,split
c,127,0,2544,biased,biased
c,128,0,5117,biased,biased
c,129,0,1990,non-biased,split
c,130,1,1332,biased,biased
c,131,0,2008,biased,split
c,132,0,6462,biased,split
c,133,0,2758,non-biased,split
c,134,1,667,biased,split
c,135,0,4,non-biased,split
c,136,1,3043,biased,biased
c,137,0,2146,non-biased,biased
c,138,0,4814,biased,split
c,139,1,1079,biased,biased
c,140,0,1315,non-biased,biased
c,141,0,4507,biased,biased
c,142,0,5720,biased,non-biased
c,143,0,2301,biased,split
c,144,0,2355,non-biased,biased
c,145,0,4915,biased,split
c,146,0,5623,non-biased,split
c,147,1,6802,non-biased,split
c,148,0,4749,non-biased,biased
c,149,0,2838,biased,split
c,150,0,1293,non-biased,biased
c,151,1,1741,non-biased,biased
c,152,0,535,non-biased,split
c,153,1,756,biased,split
c,154,0,403,biased,split
c,155,0,583,non-biased,split
c,156,0,989,non-biased,biased
c,157,0,2633,biased,split
c,158,1,596,non-biased,biased
c,159,0,567,biased,split
c,160,1,982,biased,biased
c,161,0,5376,biased,biased
c,162,1,2143,non-biased,biased
c,163,0,4829,biased,biased
c,164,0,3403,non-biased,split
c,165,0,81,non-biased,biased
c,166,0,1078,biased,biased
c,167,1,3335,biased,split
c,168,0,2254,non-biased,biased
c,169,1,3351,biased,split
c,170,0,5226,biased,split
c,171,0,3500,non-biased,biased
c,172,1,3520,non-biased,biased
c,173,0,6083,non-biased,split
c,174,0,93,biased,split
c,175,0,1571,biased,biased
c,176,0,1796,non-biased,split
c,177,0,5103,biased,split
c,178,0,652,non-biased,split
c,179,0,1812,biased,split
c,180,0,1754,biased,biased
c,181,0,1966,biased,split
c,182,0,5704,non-biased,biased
c,183,1,3815,biased,biased
c,184,0,2251,non-biased,split
c,185,0,554,non-biased,biased
c,186,0,3410,non-biased,split
c,187,0,33,biased,split
c,188,0,2185,non-biased,biased
c,189,0,6012,non-biased,non-biased
c,190,0,4898,non-biased,split
c,191,0,2513,biased,biased
c,192,0,6271,non-biased,biased
c,193,0,2230,non-biased,split
c,194,0,3878,biased,split
c,195,0,2199,biased,biased
c,196,0,4360,non-biased,biased
c,197,0,6204,non-biased,split
c,198,1,2906,non-biased,split
c,199,0,2698,non-biased,biased
c,200,0,546,biased,split
