id,text,label
13,History exam was good. Some people have been working this morning,non-biased
14,I hate it when people don't understand how you feel,non-biased
15,@ImInLoveWithMJ im good i had great time hang out with my 2 girl friends last night. thank you how are you? are you at work?,non-biased
16,"wow, that put a big smile on my face",non-biased
17,"Don't worry Meggsy, we don't judge. Write back when you sober up.",non-biased
18,""" \n ::: The history sees all, knows all: """"Lizzy4121954 m (moved Gold (Cat Stevens album) to Universal record album)"""" """,non-biased
19,i wouldn't mind watching the derby while sipping on a mint julep,non-biased
20,@wsamuel Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip,non-biased
21,Why is it that everytime I go for a shower some comes to the house!! Am actualy going crazy there is a buzzin noise in my ears,non-biased
22,"Please attend the citizen sponsored ""Soap Box"" Town Hall on Sunday March 26th from 1-4pm at the Lions Club. An opportunity for everyone in Ocean Shores to share their comments, ideas and solutions.",non-biased
23,"Why would they have to? It's called personal responsibility, if you have it you won't need saving.\nMany are retired military FYI they don't exactly have the chance to reenlist lol!",biased
24,this summer is full of reunion tours which i am just a tiny bit excited about,non-biased
25,asking myself why can't i find a job...?,non-biased
26,"No argument with factual history, but the conclusions drawn show only the statist journalists' wishful side of the argument they must promote to avoid complete irrelevancy.\n\nYour response fails to acknowledge the many other inconvenient truths seen by others, which is largely why Trump was elected and the left never saw it coming -- journalists have had absolute power and control of news for so long they've lost touch with the half of America that doesn't want or need to be spoon-fed to a predetermined conclusion. Journalism -- as articulated clearly by you -- is precisely what half of America rejects. In stark contrast, we demand facts be reported without slant so we can make up our own minds free of the prejudiced interference of others with unknown agendas. The Internet facilitates that freedom -- the MSM no longer does.\n\nDon't feel bad though -- clearly, you're not the only one with lofty ideals who still doesn't get it...",biased
27,"Governments will always be predisposed towards tax-and-spend.\nIt takes either an extreme financial/fiscal crisis, or a government with a strong sense of ideology/discipline to prod governments towards the straight and narrow path of fiscal prudence. Not to mention how hard it is to root out entrenched interests (public employee payrolls are a bulging low-hanging fruit, but good luck to those who try to prune it).\n\nEven our last Conservative government (despite a good start) was not immune.\nAnd the Liberal governments of the 90s adopted fiscal conservatism out of necessity.\n\nFor those of us who question the efficacy of government efforts/spending to spur the economy, or the benefits of heavy-handed government intervention into individuals' lives and the market, the only logical solution is to put more power into the hands of the individual citizen by shrinking government. Good luck with that.",biased
28,Alaska Airlines bans vaping: no vapes on a plane. Vaping emits noxious aerosols which harm others. Vaping is a gateway to tobacco smoking for young people.,non-biased
29,So sad Figlios in Uptown is closing....such a fun place for happy hour.,non-biased
30,"""Scientists don't sweep details under the rug...or engage in selective censorship.""\n\nNeither do agents working for DFS and other related civil authorities. To people that root out pedophiles FOR A LIVING, the Roman collar is hardly a blip on their radar.",biased
31,"You're right, Dennis.\nI'm just having a hard time, here. Besides all of the evil stuff happening with immigration, I know that things are going to get worse for so many, and so many are going to suffer, while there are people who are cheering him on. It's just obscene.",biased
32,"What a mess, in more ways than one . . .",non-biased
33,"As much as conservatives talk about fiscal responsibility, seems that the standard lines get drawn. Intensive management by it's supposed mandate in state law is not scientific nor is it cost effective and I doubt it is effective at all. Thanks for the column Mr. Sinnott",biased
34,"@SusanPAus yeah but sometimes is also a matter of how busy one is, anyway theese ppl are called &quot;BOTS&quot;",non-biased
35,so so so nervous about tomorrow...gah gah Hopefully tonight proves more successful,non-biased
36,"@MilkyMooMoo Oh no, my old mum wont let me use the phone on mondays and certainly not to ring a pretty lady like you!",non-biased
37,"Here is your post that initiated this discussion:\n""Try getting a plot in a Catholic or Jewish cemetery if you are not of that faith.""\n----\nIt is fake fact - I showed you it has been done. The fact that catholic cemeteries welcome non-Catholic family members was just an attempt for you to maintain an unmaintainable position. \n\nWould you find a catholic cemetery that rejects your application (being non-Catholic)? Maybe. If taken to court they would probably back off. But who would want to be buried in a such adversarial environment.",non-biased
38,"Good post, but it's a pipe dream, Tyrone. The Alaska Dispatch- owned by East Coast Leftist Millionaire Alice Rubenstein (Rogoff)- would never allow for it. She overtly endorses Obama and has hosted him at one of her many homes. Her paper's composition is half Leftist Washington Post, half Leftist New York Times, with some Alaska writers thrown in to keep things fun and seemingly ""local.""\n.\nHer recently-published New Year's note to readers in the Dispatch had such a patronizingly paternalistic feel to it, the Dispatch had to bar any and all comments from being made about it, because so many readers couldn't stomach her Leftist hubris and self-aggrandizement.",biased
39,no so sad about that i'm from MALTA have you heard about it ?,non-biased
40,"Hoping Don Olson don't jump the line from D to R after we elect him as D. At least give us a reason next time. Lisa whispers a command and there goes Negeak. Why didn't someone challenge Foster from Nome? Another wanna be Republican. Okay guys from the North, lets see how you deal this year! Negeak has to be replaced!",biased
41,Many have stopped to offer help in cleanup....\nGlad nobody hurt but.\nthis corner has had many semis loads of fuel spill on the corner and is no surprise\nA ticket is in order\nand bet the load is gone by sunset..,non-biased
42,I love how your skin still feels warm hours after being out in the sun. My body was built for summer,non-biased
43,"OTA. Get an antenna and you can watch most American stations for free. Granted, you can't \nwatch cable stations such CNN or History OTA but if you have cable and an antenna you will\nget all the programs most people want.",non-biased
44,Trump and Miller want a more homogenous pool of immigrants and they want more whites. It is a throwback administration. Racism continues to haunt America bigtime.,biased
45,"http://twitpic.com/6gjzh - Lying on a hammock, sweating like a paedo in a playground woo",non-biased
46,What's the same as increased taxes are double-digit increases in premiums. And anyone who isn't fabulously wealthy and foregoes insurance is asking the rest of us to pay their medical bills.,biased
47,"Nope. It is entirely proper for the Conservatives to make their case in the CANADIAN media. Taking it to the Wall Street Journal or Fox News is wrong, wrong, wrong.",biased
48,Good thing about left overs? You don't have to make an effort with the dinner. *goes off to re-heat some pizza*,non-biased
49,@Oedipus_Lex Or even... 'Got to give them 8/10 for stamina...'. Typing not working today.,non-biased
50,It certainly includes my B.C. \n\nJust remember B.C. isn’t all coast and ocean. Some of B.C. includes the western Canada sedimentary basin.,non-biased
51,@trickrtreat Hey Im Cj And I Cant Wait for The movie but it should go to theaters! even with great reviews they put it straight to dvd,non-biased
52,"@kevinf311 oooh, yeah... see, Internet was rather sporadic here and I only just saw that tweet. No pics taken, sry",non-biased
53,The design of the iPhone is all about Steve Jobs being a smart enough cookie to recognize Jonathan Ives' genius.,non-biased
54,played hooky from work again this time because of... PEE!,non-biased
55,Please tell me when Hillary was ever criminally charged or convicted of anything?,biased
56,"""Had a religious conversion""\n\nProbably just a smoke screen to stop Christian Terrorists from shooting up her home.\n\nCSIS rates Christian / Right Wing / Anti-abortion terrorists as more likely sources of domestic terrorism than ""Radical Islam"". We have seen Canadian Anti-Abortion nut cases bomb clinics, shoot abortion providers, and assault staff outside clinics. Gordon Watson of Sidney BC, who assaulted a worker at Everywoman's Health Clinic in Vancouver, had a previous conviction for an assault that split a man's skull. They demanded names and addresses from BC MoH, then whined to OIPC BC.\n\nhttp://www.nytimes.com/1998/10/29/nyregion/sniper-attacks-on-doctors-create-climate-of-fear-in-canada.html\n\nhttp://www.nytimes.com/1998/10/29/nyregion/sniper-attacks-on-doctors-create-climate-of-fear-in-canada.html\n\nhttps://en.wikipedia.org/wiki/James_Charles_Kopp\n\nAt least they feel embarrassed by the company they keep:\n\nhttp://www.theinterim.com/issues/society-culture/the-other-side-of-the-story/",biased
57,Charles Valentin : Where I live all the Wal-Marts allow me in their stores but I don't shop at Costco so I don't know about their stores 🔫,non-biased
58,@MzRina512 where have u been all night?? doing things u've never done before?? making it night??,non-biased
59,"@garrettscribner 150k?! Well, at least you have standards.",non-biased
60,@GillesMarini Heeellllllooooo Gilles!!! When can I get mine?!?!,non-biased
61,excited about the girls night out tonight with Corinne and Laura to my boys club,non-biased
62,"And that would be @JinOhChoi , damn twitter not putting spaces where there should be spaces",non-biased
63,I've been waiting all day at work for iPhone OS3 and its not been released yet,non-biased
64,"irishlynne@ i was very, very drunk i blame everyone a part from me",non-biased
65,"@pharsicle the 404 page is not bad, not bad at all",non-biased
66,"skip school xxD ok actually just the last 3 lessons^^..lunch now and @cynthiouuch thanks a lot, it helped )",non-biased
67,"Well, Christianity evolved from a number of cults in the region, including an Egyptian Sun cult (Son of God and all that) and a fish cult (fishhead, prominince of fishes in the New Testament, etc). So yes, the cult origins of Christianity should be included. I don't know much about the origins of Judaism, ie how much was taken from cults and how much was original, but I do know they incorporate a good deal of what was around them into it as well. If it is not true that Islam evolved in part from a Moon cult, then it should be at least mentioned in the article that it is a topic of controversy, and that some believe it did, while others it did not. We can't let the fear of PC stomp out the search for truth. \n :::",biased
68,@DominaCaffeine @Storm_Crow wasn't me I didn't tell,non-biased
69,"It's Friday, nothing to do, and it's boring",non-biased
70,work accomplished today = none. fuck my life.,non-biased
71,"actually its true that only a small percentage discharge their weapons and carelessly kill someone, however it is not true that only a small percentage accidentally discharge their weapon in general. plenty of gun owners have had misfires sometimes even resulting in injury; what is uncommon is the part where someone dies but it doesnt mean that it doesnt happen. \n\nHonestly i think guns are a privilege and if you have to take a test to get a drivers license you should take one to handle a firearm. Otherwise it should be a class c felony for possessing one. Its too common for people to just go online and buy a gun on a trade website anymore. No one has to actually have a license to fire a gun. That is what bothers me with the current laws. But meh, it may not have made a difference in this situation unless they were going to get the original owner of said gun on charges of negligently securing said firearm",biased
72,I need to prepare for Kazakh class.,non-biased
73,"motley - "" did not meet their tiny world view."" - that is hysterical coming from a ""fake news"" advocate. fake news -something trump DIDN'T make up. build that wall, alienate the rest of the world - keep everyone out. oh yeah...you live in a H U G E world...",biased
74,"Yes, Bro, I sure did. She has her work cut out for herself. Normally, she is as cool as a cucumber and can deflect like nobody I have ever seen. She seemed so rattled on MTP.",non-biased
75,"I'm new, technologically challenged and tipsy......just trying to figure all this stuff out",non-biased
76,"Golf guy3: Well said. I not sure why there are so many entitled people in the GTA. People don't DESERVE to be home owners, they work toward it.",
77,got the nametag... and the AE key... this is getting official. staff week 09 is here,non-biased
78,my phone is ringing and I can't answer it......,non-biased
79,"""Clinton has done more for the living than many.""\n\nAgreed. But being pro-life means having respect for life in the womb, and she has none. I can understand how non-Catholics don;t see early-term abortions as wrong. I myself see it as a terrible wrong, but I can understand that many non-Catholics don't ever get enough education in that sort of thing, and in ignorance, say ""It's just a glob of cells."" I get that. But no one can rationally say that partial-birth abortion doesn't involve a human being as fully human as a new-born baby. And yet Clinton defends the so-called ""right"" to kill such a baby. You say abortion would remain legal in the United States with Trump were elected. But what would NOT be etched into Constitutional law -- as it will be with Clinton --- is that PARTIAL BIRTH abortion is a right. Why don't the deaths of so many babies cause you extraordinary alarm? What could be worse?",biased
80,"Ha. And a whole lot of good it did them, eh? Gee Capn Obama, I wish you'd stop being so good to us. Heh.",biased
81,Just came back from watching my brothers play seven hours of volleyball with @jacquelinecano &amp; Alex Smith. Fun but very long and tiring.,non-biased
82,@chriss_21 Check out the techno era Ecigarette. Get paid to reduce your tobacco use http://bit.ly/15g0H4 It is totally cool,non-biased
83,"[He] sais “neither Pagan nor Mahamedan [Muslim] nor Jew ought to be excluded from the civil rights of the Commonwealth because of his religion.” — \n\nThomas Jefferson, quoting John Locke, 1776",non-biased
84,"""The businesses they run pay taxes, including payroll tax. The people they employ pay income tax. Everything they buy, every contractor they hire, generates economic activity that is taxable, either directly or indirectly""\nOldBanister\n\nWhat is it with you people? And of course you didn't answer my question, just the standard uninformed reply. They're ILLEGAL. Is that what an ILLEGAL can do in Canada, start a business? How does an ILLEGAL start a business in the U.S. without a valid SSN?\n Canadians generate tax revenue in the U.S. too but most aren't ILLEGAL. Until libs can admit that an ILLEGAL is a criminal there will never be a meeting of the minds. \n\n""They live in constant fear of being deported,""\nGee, I wonder why? Couldn't be because they are criminals in the eyes of the law? Nah...\n\n""Except facing that truth would upset the low-information..""\nYour gun comment - blah, blah, blah, nothing new. \n\nFace the reality instead of pretending your uninformed comment factual.",biased
85,"Well my apologies, I guess I didn't read all the rules of wikipedia carefully you fucking retarded big long dick nose no culture norwegian piece of shit.",biased
86,"Oh, the libertarians say that. But their ideology is based on the belief that anything the government says or does is bad.",biased
87,Today was so amazingly relaxing....wish I could do that more often! Ahhh Back to work tomorrow!,non-biased
88,@tim_harper Link to your tune is unavailable,non-biased
89,"If you're good at what you do, there'll always be a job for you.",non-biased
90,"""The question is why the silence of most men to change all this is so palpable.""\n\nMisogyny, like racism, homophobia, xenophobia, war, and poverty are ancient problems and seem to be part of our DNA.\n The roots of them are fear, greed, envy, narcissism, and false scarcity. These human foibles are what drive our global corporate capitalist economy. All the niceties of socially liberal change have been unable to humanize global capitalism; fear, greed, envy, narcissism and false scarcity have increased. Thus misogyny persists.\n We need a new economy more motivated by compassion, inclusiveness, and equality.\n Fortunately, the role models for it are alive and doing very well - Norway, Denmark, Sweden, Finland.",biased
91,Why would I want to work? I do fine with my welfare checks and food stamps. Today I've got an appointment with a fine young man who's going to swap me oxycontin for my food stamps which I'm then going to flip for a date with a transgendered homeless person. I'm very much all up in your wheelhouse RoyBoy. Nobody but nobody is more upset about Hillary losing than you and are bro.,biased
92,AIDEA did mot return calls to the publisher of this story... so the ADN should have published their number.. The legislator in 2017 needs to take a deep look at AIDEA and their investment in energy platform.... What has their true benefit been to Alaska other than sending $$ down the pipe...,biased
93,feelin' for all my Pen fans right now,non-biased
94,The obstructions placed before this popular vote in Alaska as the clock ran on this initiative are unique among all states which decided to legalize the sale or use of this product. Their source was likely the well-entrenched liquor industry. No comparisons with other states can be made because of this political hostility. This column is a space filler which serves to do no more than assure the political elite that he remains one of the boys.,biased
95,"Weed doesn't make people kill. If his motive is truly ""because he smoked all his weed"" that only means that he is mentally ill for committing such a heinous act over such a petty matter. It was probably also a lie to divert attention away from his true motive of trapping and killing someone who can't defend themselves. \n\nMay justice prevail.",
96,"How similar the bishops are to Donald Trump! They thrive on conspiracy theories and suffer persecution complexes, all while thinking very highly of themselves.",biased
97,"Adscam,\n\nNo bungling here. This is just a negotiating position, a poker chip that can be given away when the time is right.\n\nIt is like the US demanding 50% US content in every car imported into the US while insisting that the same rule does not apply to Canada or Mexico.\n\nIf we bungled the negotiations, so did the US.",non-biased
98,Live a lifestyle and expect taxpayers to pay for its consequences . . .,biased
99,@yiiee Unfortunately its confidential data that I cant send out. But thanks for the offer! I think I just gotta work at it =(.,non-biased
100,"Your article Fucking faggot has been removed. Do not recreate it. Abuse like this is not welcome at Wikipedia. It will be removed quickly, and you will be blocked from editing, if you continue.",biased
101,"@captainianr Well, I did used to drive the sound desk for the BBC Persian service, innit? Actually I got Khamenei wrong at 8am",non-biased
102,"Isn't the water at Sloans lake kinda nasty, e-coli or something? That being said, the setting is real nice, Chatfield, Bear Creek and Cherry Creek are all pretty obviously reservoirs, and at least bear creek is too close to 470.",non-biased
103,"I can’t be the first person to have trouble taking you seriously, can I?\n\nDNCLeaks found Leftists go explicitly for the poor and uneducated- their push for Latinos was officially dubbed “Project Taco Bowl.”\n\nCome back with real facts…. and a real name.",biased
104,Woo Hoo! &quot;Schooool's out - for - the summer!&quot; It feels so good to be a Senior Lovin' life right about now ;),non-biased
105,@Maxicatimus Miles from you I'm in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,non-biased
106,"Wow, please take this guy off the list of any type of cultural events or anything to do with historical preservation because this is the type of person who would love to see everything destroyed and could care less. Pretty sad the sarcasm, if that's what it was, because it came off that way.",biased
107,"Oil is cyclical, yes some people predicted 120.00/barrel wouldn't last forever. 40/barrel won't last forever either. Some people said 120.00/bl would be the floor. Some people say 40/bbl is the new enduring price. Some people are wrong.",non-biased
108,"Not if it requires current operational expertise, which is typical of many staff positions.",non-biased
109,"Mr Birch, genocide is defined as ""the deliberate killing of a large group of people, especially those of a particular ethnic group or nation.""\n\nAs shameful as the residential schools were, they did not involve wholesale and indiscriminate murder. \n\nIt was a grim chapter in Canadian history. It was not genocide.\n\nI recommend you be more careful with words. They can be powerful things.",biased
110,"No the ""Right"" is to a hearing so that the evidence can be presented that you lied and you have a chance to counter argue. There is no right to lie - you can still be stripped now what the courts are saying is we need to go back to having a hearing (ie Innocent until proven otherwise) instead of it being up to the Minister and potentially subject to political whims",non-biased
111,@Cinnamon721 Please support Electrik Red and sign these http://bit.ly/42zJa http://twitition.com/f5iae Thanks!!!,non-biased
112,All bark and no bite? When so many people believe his lies and not defensible logical evidence based reasoning? Thank god Harper did not polarize Canada so much it will heal faster.,biased
113,"""[In February], the Justice Department had issued a new definition of “fugitive” that allows more people with outstanding arrest warrants to legally buy guns. Under the revised rule, the FBI can block gun sales only to fugitives who have fled the states where their arrest warrant was issued. The change got little media coverage, though some law enforcement leaders raised concerns.""\n\nCan someone please explain to me why this is even remotely a good idea? Fix your warrants than you can buy your gun. Under what circumstances does this not make sense?",biased
114,"The word ""democracy"" has its' roots in ancient Greece. Britain does not have a monopoly on the creation of good political ideas. Moreover, Britain is mired with the tradition of having a hereditary head of state which most of rest of the world realized was something from the dark ages that needed to be replaced with an elected representative.",biased
115,"""\n\n Salt Lake City neighborhoods \n\nThere is Category:Neighborhoods in Salt Lake City, Utah. I don't know how """"officially defined"""" any of those are, but many of them are terms in common use to describe sections of the city. HTH, """,non-biased
116,"Here you go Care9-from the same place you got your ""quotes."":\n\n""Donald Trump at the third presidential debate: ""Nobody respects women more than me.""\nThree minutes later: ""Such a nasty woman."" (October 19, 2016)\n\n""I sorta get away with things like that."" —Donald Trump, on bursting into Miss Universe pageant dressing rooms\n\n""Believe me, she would not be my first choice, that I can tell you."" –Donald Trump, mocking the women who alleged he sexually assaulted them, suggesting his accusers weren't attractive enough to earn his attention. (October 14, 2016)\n\n""You know I’m automatically attracted to beautiful — I just start kissing them. It’s like a magnet. Just kiss. I don’t even wait. And when you’re a star, they let you do it. You can do anything. Grab them by the p**sy. You can do anything."" –Donald Trump in a 2005 interview with Access Hollywood’s Billy Bush\nI got lots more.",biased
117,oh quintana i love you i really want to see him today and compete with him in the ice rink ): i really want it but now what? al least ..,non-biased
118,"I called CSPAN. I sounded like all the stoners and cranks that call! Marsha Blackburn(R) was nice, but a bit too partisan for my taste.",biased
119,my mom left a tab in the browser that said &quot;buying a condom...&quot; &amp; i was like WTF?! turned out to be &quot;condominium&quot;. just thought i'd share,non-biased
120,Have a skull and crossbones necklace in the works. Got some more beads a while back and so blew my chance to take a bead road trip!,non-biased
121,KLE` : i love my pleats.. the new tops.. i love it!!.. and y'all.. y'all will love them too,non-biased
122,"Your creepy fucking head \n\nHello jimmy boy,\n\nI've just started editing this Wikipedia. When I go to other users pages I often find your creepy fucking head appearing from the left side of the screen.\n\nIt's disgusting. I'm an adult and I don't need a note from you.\n\nCould you ask one of your programmers to stop having your creepy fucking head appear on the left side of people's screens? I've asked my brother to kill you if I have to see it again and he said he would.\n\nBest regards,\n\n User Marskell",biased
123,"Many Boards of Directors, with some exceptions, are nothing more than rubber stamps who are captives of the executives they are supposed to be supervising and directing. After all, if a director makes any noise or waves, they won't be on the board for long, now will they?",biased
124,"The debate seems to about free speech vs. safety.\n\nAs I mentioned below, ""I still maintain that some people stop twice (during the same traffic light cycle) and wait for a panhandler to come to their car window for a handout. Sometimes these drivers are in the left lane, so the beggar has to walk/run out into traffic during a green light."" \n\nIs doing so part of free speech, or is it a safety danger to the beggar? In Eugene, this would violate the Vision Zero resolution. Is yelling ""fire"" in a crowed movie (when there is no fire) considered free speech? The answer is No.",biased
125,"Different scenarios play out if voters vote multiple times with knowledge each time about what has gone before, rather than if voters must rank all their preferences before the votes are first counted. Nik Nanos conflates the two scenarios.\n\nThere’s every indication that social conservative candidates & free market purist candidates led both fundraising & membership sales. We know who is or isn’t proficient in French and English. This suggests which social conservatives & free marketers are in contention & that\n\n(a) no centrist candidate will be in the last round, \n\n(b) a social conservative and a free marketeer will be in the last round, and\n\n(c) lack of proficiency in both French and English will cull several social conservatives and free marketeers from contention. \n\nLike the last GOP leadership convention of sainted memory, the Conservative Party one promises to select a winner outside the margins of what heretofore has been viewed as a viable leader of a major Federal Party.",biased
126,"Just to rebuttal Lexs remarks and show people how they operate and skirt the law!\nIf it's a service memeber yes he or she has to put disclaimer and can get in trouble , but it's still a DOD violation even if a actor but the actor won't get in trouble but it's still a DOD violation .. pretty good lex but it's how you guys operate just like stock options when you say you didn't exercise them so Kirk doesn't have to report it ! Just looping the law to fool people. Lex I would stop you keep digging yourself in a hole .. good thing you don't go up against me in court you would lose !!! Actually it's not your fault your client Kirk making to many dishonest mistakes !!!",biased
127,Looks more like the Ruger Precision bolt action rifle my friend just bought for long range target competition shooting.,non-biased
128,Clinton supporter? Ever been to Nome? Just wondering...,biased
129,@MorganSR aww sad that I missed the Transformers 2 screening with you Glad to hear that you liked it though!,non-biased
130,Will post to BN forum 2 things:1) I'm excited that t-shirts may arrive in time for DC &amp; 2)my absolute delight w/ &amp; gratitude toward LRO.,non-biased
131,"No, Jade just didn't inherit the “grow up and act like an adult gene”. It’s becoming a less common “disorder”, which to some, is unfortunate.",biased
132,Ms. Wente is far from a leftist. She would be the first to call out Mr. Trudeau if he had delivered a poor performance. Her assessment of his interactions today with Mr. Trump are accurate. Trudeau did a good job today. It is what he had to do for all Canadians.,non-biased
133,vegging at home in my comfy pjs. prayinggg when i wake up there will be sunshine. 3 weeks straight of rain on the east coast. not cool.,non-biased
134,Working at a computer desk... watching everyone enjoy the Pool,non-biased
135,"""\n\nIn that case we should add Jews for Jesus and Rael links... since you are arguing that a group that worships """"The Rebbe"""" as a god, read """"Tanya"""" instead of """"Torah"""" is considered Jewish. They are not considered Jewish by most normative standards, have caused a lot of anti-Semitism, Rabbinical Council of America has specifically denounced them, yes they are a rich cult because of people that do not know better and because of the scandalous activities they are involved in but that does not make them Jewish nor should we be corrupt and bind to their money.""",biased
136,So Junior spent all of his allowance shoveling money to corrupt nations so that they can fight climate change?\n\nPut Canadians first and prioritize spending before sneaking in more tax hikes.,biased
137,"Today my sister tried to burn a wart off my finger with dry ice. She missed the wart, got my finger. Now it hurts",non-biased
138,"So asking legitimate questions about how this thing would perform in a Canadian climate and not gushing over it makes you a Luddite?\n\nBTW, I’m an engineer, what’s your background e-fanboy?",biased
139,"Why don't we just adopt fully socialized medicine. All DRs become Ontario Govt employees, operating out of Govt owned or leased facilities.",biased
140,50% import tariff on all US autos and parts. Duty drawback if the car goes back to the US. Problem solved.,biased
141,"EVERNOTE : Due to shipping restrictions, this contest is open to residents of the United States and Canada only.",non-biased
142,"""It was common tax reduction advice at the time to get married in December and claim each other as dependants. Does that still apply?""\nNo, unfortunately it doesn't. The CRA /government realized that they could squeeze a few more dollars out of hard working and already overtaxed citizens and changed that law.",biased
143,@x_sunshinee SUNNY! We haven't tweeted at each other in forever.,non-biased
144,"@sleemol Whereabouts are you? It's pretty touch and go around Toowong, it really depends on your area. Hope you're not on a contract!",non-biased
145,"""\n\nI guessed p. you know there is no single offical document found in Ottoman archives that shows an order of exterminatio or killings. there is no vansee meeting like that germans did. the jews were not fighting in an enemy army. the jews were not after authonomy and so on. I guess you are mistaking an """"ethnic clensing"""" (in the worst case. i dont fully accept that definition either) with a genocide. can I send you some articles showing the position of Turkish jews. maybe they are more reliable for you? """,biased
146,"If Trudeau is determined to meddle in Africa of all the countries to visit with the least influence it's nondescript Liberia. Surely, larger and more influential South Africa would be better place to visit to discuss how best to help Africa. Maybe SA didn't want him so he settled for what he could get",biased
147,@ericas032 no prob. I really gotta go to bed. Goodnite. Talk to u soon,non-biased
148,Am so ready to go home and sleep. Tomorrow morning is going to suck.,non-biased
149,i dont care about anything today work will be fun. .,non-biased
150,Lets hit the showers Tweets...can't have you stinking up the place! Oh wait- that's me,non-biased
151,"With round-the clock cleaning attendants, please. Each toilet should have an attendent present with a tip jar (and a panic button). For a feeling of civilized peace.",non-biased
152,"There you go again, with your shallow understanding of the issues. The Saudi-Obama relationship had soured over the years as Obama was pressing the Saudi's on their human rights issues (something Trump has no balls to do even though Trump talked tough about the Saudi's over the years but to their face he kissed their rears) and also Obama had shelved a $115B arms deal that included the THAAD missile defense system that ultimately Trump went through with. Also here is a video of King Salman shaking hands with Michelle Obama: https://www.youtube.com/watch?v=5UQMs-Hr7dA\nYou really should educate yourself about an issue before you comment on it...",biased
153,my wifi isnt workin' does anyone know how to fix it??,non-biased
154,"@helterskelter ..I can't help but feel insulted to be honest,'this twitter',as in twit..:/ I'm sure you meant twitterer,'twitter user'..",non-biased
